Authors;Title;Abstract;Author Keywords;Index Keywords;Source Title;Document Type;Publisher;DOI;ISSN;ISBN;Book Authors;Group Authors;Book Group Authors;Book Editors;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Start Page;End Page;Book DOI;Early Access Date;Publication Date;Publication Year;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Indexed Date;Cited by;Link;PubMed ID;SJR_Q;JCR_Q;SJR_found;JCR_found
"Tran, Hao; Crosthwaite, Peter; Pham, Quy Huynh Phu; Tran, H.; Crosthwaite, P.; Pham, Q.H.P.";Students’ self-determination in using machine translation and generative AI tools for English for academic purposes;The rise of machine translation (MT) and generative artificial intelligence (GAI) presents opportunities and challenges for English for Academic Purposes (EAP) instruction. While MT/GAI can support students' learning beyond the classroom, overreliance on MT/GAI may hinder development of essential research and composition skills. Despite some research on MT/GAI's role in self-regulated learning, little is known about students' motivations for its use, and the potential mediating influences of instructional context and discipline. This study applies Self-Determination Theory to examine how autonomy, competence, and relatedness influence students' use of MT/GAI in academic writing. Using a mixed-methods approach, the study compares EAP students in an English as a Second Language context in Australia and an English as a Foreign Language context in Vietnam. An online survey validated through confirmatory factor analysis and discriminant validity testing gathered 416 responses, complemented by interviews with 17 students. Findings reveal a complex interplay between MT/GAI use and students' motivational needs. While students generally report moderate autonomy, competence, and relatedness in using MT/GAI in the survey, mixed-effects regression showed Australian students experienced lower relatedness compared with Vietnamese students, with disciplinary differences also significantly influencing students' perceptions of this construct. Interview data further highlighted diversity and complexity of students' perceptions, variation in EAP instructional approaches and peer-teacher dynamics surrounding MT/GAI. These findings support the need for contextually tailored pedagogical approaches fostering collaboration between institutions, teachers, and students, illustrated through innovations from an Australian EAP course that bridge research and practice in MT/GAI-assisted academic writing. © 2025 Elsevier B.V., All rights reserved.;"English for academic purposes; Generative AI; Machine translation; Self-determination theory; Self-regulated learning";;Journal of English for Academic Purposes;Article;Elsevier Ltd;10.1016/j.jeap.2025.101578;"1475-1585; 14751585; 1878-1497";;;;;;;;78;;;;;;SEP 2025;NOV 2025;2025;0;13;13;2025-09-21;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015465934&doi=10.1016%2Fj.jeap.2025.101578&partnerID=40&md5=f43141294f5a60957e7d08e9dea0d29d;;Q1;Q1;True;True
"Dong, Wanjin; Pan, Daohua; Kim, Soonbae";Exploring the integration of IoT and Generative AI in English language education: Smart tools for personalized learning experiences;English language education is undergoing a transformative shift, propelled by advancements in technology. This research explores the integration of the Internet of Things (IoT) and Generative Artificial Intelligence (Generative AI) in the context of English language education, with a focus on developing a personalized oral assessment method. The proposed method leverages real-time data collection from IoT devices and Generative AI's language generation capabilities to create a dynamic and adaptive learning environment. The study addresses historical challenges in traditional teaching methodologies, emphasizing the need for AI approaches. The research objectives encompass a comprehensive exploration of the historical context, challenges, and existing technological interventions in English language education. A novel, technology-driven oral assessment method is designed, implemented, and rigorously evaluated using datasets such as Librispeech and L2Arctic. The ablation study investigates the impact of training dataset proportions and model learning rates on the method's performance. Results from the study highlight the importance of maintaining a balance in dataset proportions, selecting an optimal learning rate, and considering model depth in achieving optimal performance.;;;JOURNAL OF COMPUTATIONAL SCIENCE;Article;;10.1016/j.jocs.2024.102397;"1877-7503; 1877-7511";;;;;;;;82;;;;;;AUG 2024;OCT 2024;2024;12;33;120;2024-08-30;;;;Q2;Q1;True;True
"Kang, Joohoon; Yi, Youngjoo";Beyond ChatGPT: Multimodal generative AI for L2 writers;In response to Warschauer et al.'s paper on the affordances and contradictions of AI-generated text, we as researchers in multimodal literacy focus on discussing the two affordances of multi -modal generative AI models for L2 writers, such as (1) exploring and fostering multimodal literacy and (2) developing fine-tuned prompt literacy.;;;JOURNAL OF SECOND LANGUAGE WRITING;Article;;10.1016/j.jslw.2023.101070;"1060-3743; 1873-1422";;;;;;;;62;;;;;;NOV 2023;DEC 2023;2023;24;27;157;2023-12-03;;;;Q1;Q1;True;True
"Praphan, Pimyupa W.; Praphan, Kittiphong";AI technologies in the ESL/EFL writing classroom: The villain or the champion?;The impact of AI technologies, particularly ChatGPT, on the ESL/EFL writing classroom is unprecedented. In response to the focus paper by Warschauer and colleagues regarding this issue, this paper shares some insights from the experiences teaching English writing at the postsecondary level in Thailand. Due to the lack of institutional policies on the use of AI technologies, we need to devise our own strategies for our classes. While students are encouraged to use their voices instead of relying on AI, we attempt to adapt our practice by incorporating AI generators in a productive way to help students enhance their potential as L2 writers. However, there has been a debate among writing teachers in our context whether to accept AI tools as a part of teaching and learning.;;;JOURNAL OF SECOND LANGUAGE WRITING;Article;;10.1016/j.jslw.2023.101072;"1060-3743; 1873-1422";;;;;;;;62;;;;;;NOV 2023;DEC 2023;2023;21;72;408;2023-12-16;;;;Q1;Q1;True;True
"Xu, Wei; Tan, Xiao; Xu, W.; Tan, X.";Beyond words: L2 writing teachers’ visual conceptualizations of ChatGPT in teaching and learning;"Since its inception, ChatGPT has been characterized by L2 writing teachers with various metaphors, such as a tool and a collaborator. Complemented with text-based metaphorical conceptualizations, this research brief contributes ten visual conceptualizations of ChatGPT in L2 writing pedagogy from L2 writing teachers who teach in US higher education. Four themes emerged from our analysis of these visual conceptualizations: ChatGPT as a (1) tool, (2) resource, (3) threat, and an (4) unknown entity. The visualizations help tease out the intricacies involved in the use of metaphorical representations of ChatGPT and provide a multidimensional picture of L2 writing teachers' perceptions and attitudes towards the use of ChatGPT in L2 writing classrooms. This report concludes with an overview of the potential implications of applying visual metaphorical conceptualizations of ChatGPT to educational settings, such as raising L2 student writers' awareness and fostering the development of their critical digital literacy.; Since its inception, ChatGPT has been characterized by L2 writing teachers with various metaphors, such as a tool and a collaborator. Complemented with text-based metaphorical conceptualizations, this research brief contributes ten visual conceptualizations of ChatGPT in L2 writing pedagogy from L2 writing teachers who teach in US higher education. Four themes emerged from our analysis of these visual conceptualizations: ChatGPT as a (1) tool, (2) resource, (3) threat, and an (4) unknown entity. The visualizations help tease out the intricacies involved in the use of metaphorical representations of ChatGPT and provide a multidimensional picture of L2 writing teachers’ perceptions and attitudes towards the use of ChatGPT in L2 writing classrooms. This report concludes with an overview of the potential implications of applying visual metaphorical conceptualizations of ChatGPT to educational settings, such as raising L2 student writers’ awareness and fostering the development of their critical digital literacy. © 2024 Elsevier B.V., All rights reserved.";"ChatGPT; L2 writing teachers; Metaphor; Visualization";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2024.101110;"1060-3743; 10603743; 1873-1422";;;;;;;;64;;;;;;MAR 2024;JUN 2024;2024;12;11;95;2024-08-16;12;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189073001&doi=10.1016%2Fj.jslw.2024.101110&partnerID=40&md5=80ea6323313ee1594415a3ea2424be6f;;Q1;Q1;True;True
"Koltovskaia, Svetlana; Rahmati, Payam; Saeli, Hooman; Koltovskaia, S.; Rahmati, P.; Saeli, H.";Graduate students’ use of ChatGPT for academic text revision: Behavioral, cognitive, and affective engagement;"Amidst the growing hype surrounding ChatGPT and its use for writing purposes, numerous studies have emerged, but there has been limited emphasis on investigating how individual students utilize it for text revision. Against this backdrop, the present study examined how six Iranian graduate ESL students from STEM fields engaged with ChatGPT when revising their academic research proposals. The study employed a tripartite multidimensional framework encompassing behavioral, cognitive, and affective aspects of engagement. Behavioral engagement was analyzed by studying students' texts and their screencasts using ChatGPT for text revision. Cognitive and affective engagement were evaluated through students' comments during stimulated recall of the screencasts, along with semi-structured interviews and follow-up surveys. The findings show that participants used ChatGPT behaviorally for lower-order concerns, relying on a training prompt. While they generally noticed and comprehended the feedback, they expressed doubts regarding its accuracy whenever necessary, implying a reasonably high level of cognitive engagement. Affective engagement revealed high satisfaction, with participants' favoring ChatGPT for paraphrasing to enhance professionalism in writing. The research offers insights for educators on how to effectively integrate ChatGPT into L2 writing classrooms.; Amidst the growing hype surrounding ChatGPT and its use for writing purposes, numerous studies have emerged, but there has been limited emphasis on investigating how individual students utilize it for text revision. Against this backdrop, the present study examined how six Iranian graduate ESL students from STEM fields engaged with ChatGPT when revising their academic research proposals. The study employed a tripartite multidimensional framework encompassing behavioral, cognitive, and affective aspects of engagement. Behavioral engagement was analyzed by studying students’ texts and their screencasts using ChatGPT for text revision. Cognitive and affective engagement were evaluated through students’ comments during stimulated recall of the screencasts, along with semi-structured interviews and follow-up surveys. The findings show that participants used ChatGPT behaviorally for lower-order concerns, relying on a training prompt. While they generally noticed and comprehended the feedback, they expressed doubts regarding its accuracy whenever necessary, implying a reasonably high level of cognitive engagement. Affective engagement revealed high satisfaction, with participants' favoring ChatGPT for paraphrasing to enhance professionalism in writing. The research offers insights for educators on how to effectively integrate ChatGPT into L2 writing classrooms. © 2024 Elsevier B.V., All rights reserved.";"Artificial Intelligence (AI); ChatGPT; L2 writing; Learner engagement";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2024.101130;"1060-3743; 10603743; 1873-1422";;;;;;;;65;;;;;;JUL 2024;SEP 2024;2024;53;132;373;2024-08-07;47;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199717955&doi=10.1016%2Fj.jslw.2024.101130&partnerID=40&md5=cc8646b3b21328d9b9d7a8b3c595a090;;Q1;Q1;True;True
"Ou, Amy Wanyu; Khuder, Baraa; Franzetti, Sindija; Negretti, Raffaella; Ou, A.W.; Khuder, B.; Franzetti, S.; Negretti, R.";Conceptualising and cultivating Critical GAI Literacy in doctoral academic writing;Generative artificial intelligence (GAI) has revolutionised the landscape of academic writing, presenting both advantages and risks to learning for L2 writers. It is thus imperative that L2 writers, especially at advanced academic levels, develop the critical skills necessary for employing GAI tools ethically and effectively in their writing processes. Our study addressed this need by 1) conceptualising Critical GAI Literacy based on current research and our collected data, and 2) developing a self-regulated learning-based micro-curriculum for L2 doctoral students to cultivate knowledge and skills using GAI for academic writing. We collected interactive and reflective data in an introductory-level academic writing course at a Swedish university enrolled with 60 PhD students from diverse backgrounds and examined their evolving perspectives and strategies for engaging in GAI-mediated writing. Findings show a spectrum of initial attitudes among students and limited knowledge of GAI use. Final reflections illustrate de-enchantment with GAI, recalibrated and enhanced understanding of ethical issues, developed prompting methods, and increased awareness of text ownership through the self-directed learning process. Furthermore, students demonstrated a discerning approach in evaluating GAI-generated suggestions and sociolinguistic impacts, indicating a growing criticality in L2 writing practices. © 2024 Elsevier B.V., All rights reserved.;"Academic writing; Artificial intelligence; Critical GAI Literacy; Doctoral education; Self-regulated learning";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2024.101156;"1060-3743; 10603743; 1873-1422";;;;;;;;66;;;;;;NOV 2024;DEC 2024;2024;21;42;81;2024-11-30;18;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209368139&doi=10.1016%2Fj.jslw.2024.101156&partnerID=40&md5=ad49c25070fa5a821251541e12be0862;;Q1;Q1;True;True
"Dang, Anh; Wang, Hui; Dang, A.; Wang, H.";Ethical use of generative AI for writing practices: Addressing linguistically diverse students in U.S. Universities' AI statements;Given the rapid development in Generative Artificial Intelligence (GenAI) technologies, conversations regarding how these tools will shape the teaching and learning of writing can be difficult to unpack. Thus, higher-ed institutions across the U.S. are paying more attention to the discussion of GenAI in their own contexts and also establishing guidelines to support instructors and students in this GenAI era. To understand more about the direction of these universities, this research brief examines publicly available statements and resources from 100 U.S. universities on the teaching of writing and GenAI usage, and from there, guide institutions in developing effective strategies for the responsible implementation of these tools. This report also highlights the importance of including L2 students as a focus in the process of crafting these statements, especially when viewing GenAI through the lens of critical pedagogy, social justice and inequalities. © 2024 Elsevier B.V., All rights reserved.;"ChatGPT; Critical AI Literacy; GenAI Statements; Generative AI; L2 Writing and Generative AI; Policies; University";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2024.101157;"1060-3743; 10603743; 1873-1422";;;;;;;;66;;;;;;NOV 2024;DEC 2024;2024;10;28;70;2024-11-28;6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209125837&doi=10.1016%2Fj.jslw.2024.101157&partnerID=40&md5=23ca5779494cfb1faf105cda8117457b;;Q1;Q1;True;True
"Goulart, Larissa; Matte, Marine Laisa; Mendoza, Alanna; Alvarado, Lee; Veloso, Ingrid; Goulart, L.; Matte, M.L.; Mendoza, A.; Alvarado, L.; Veloso, I.";AI or student writing? Analyzing the situational and linguistic characteristics of undergraduate student writing and AI-generated assignments;"Since the release of OpenAI's ChatGPT, universities have faced the issue of whether there is still a place for written assignments in higher education. ChatGPT's capacity to mimic various written forms raises questions about the necessity of traditional assessments. Given this background, this study explores to what extent AI-generated assignments can replicate the situational and linguistic features of student-authored assignments. Using a corpus of undergraduate assignments from an English as a Foreign Language (EFL) context, we compare student responses with ChatGPT's outputs. Employing a register approach, we analyze the situational and linguistic characteristics of texts across three different registers-essays, critiques, and personal narratives. Our methodology follows Biber and Conrad's (2019) framework, encompassing situational analysis, linguistic analysis, and functional interpretation. The findings aim to inform writing instructors and EFL teachers about the strengths and limitations of AI tools, enhancing their ability to guide students in integrating these technologies into their writing processes.; Since the release of OpenAI's ChatGPT, universities have faced the issue of whether there is still a place for written assignments in higher education. ChatGPT's capacity to mimic various written forms raises questions about the necessity of traditional assessments. Given this background, this study explores to what extent AI-generated assignments can replicate the situational and linguistic features of student-authored assignments. Using a corpus of undergraduate assignments from an English as a Foreign Language (EFL) context, we compare student responses with ChatGPT's outputs. Employing a register approach, we analyze the situational and linguistic characteristics of texts across three different registers—essays, critiques, and personal narratives. Our methodology follows Biber and Conrad's (2019) framework, encompassing situational analysis, linguistic analysis, and functional interpretation. The findings aim to inform writing instructors and EFL teachers about the strengths and limitations of AI tools, enhancing their ability to guide students in integrating these technologies into their writing processes. © 2024 Elsevier B.V., All rights reserved.";"Generative AI; Multidimensional analysis; Register studies; University writing";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2024.101160;"1060-3743; 10603743; 1873-1422";;;;;;;;66;;;;;;NOV 2024;DEC 2024;2024;9;35;94;2024-12-13;10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210531365&doi=10.1016%2Fj.jslw.2024.101160&partnerID=40&md5=32267d1af9d698a4e9884778b684ffb3;;Q1;Q1;True;True
"Yang, Wanli; Lin, Chenming; Yang, W.; Lin, C.";Translanguaging with generative AI in EFL writing: Students’ practices and perceptions;"Through a translanguaging lens, this qualitative study explores how EFL students in China utilize generative AI, specifically ERNIE Bot, in their writing and examines their perceptions of its impact on their language development. Data were collected using a semi-structured interview and artefacts including interaction logs with AI and writing products from six college students with lower to intermediate language proficiency. Findings revealed that students actively engaged in translanguaging practices, leveraging their native language for problem-solving in writing, integrating semiotic resources for idea generation, and iteratively transforming ideas into English for the final writing product. The study also highlighted students' mixed emotions and perceptions toward the use of generative AI in their writing process. The findings extend the existed understanding of translanguaging in EFL/L2 writing by incorporating generative AI tools, while call for cautious integration of these tools to support self-directed language learning.; Through a translanguaging lens, this qualitative study explores how EFL students in China utilize generative AI, specifically ERNIE Bot, in their writing and examines their perceptions of its impact on their language development. Data were collected using a semi-structured interview and artefacts including interaction logs with AI and writing products from six college students with lower to intermediate language proficiency. Findings revealed that students actively engaged in translanguaging practices, leveraging their native language for problem-solving in writing, integrating semiotic resources for idea generation, and iteratively transforming ideas into English for the final writing product. The study also highlighted students’ mixed emotions and perceptions toward the use of generative AI in their writing process. The findings extend the existed understanding of translanguaging in EFL/L2 writing by incorporating generative AI tools, while call for cautious integration of these tools to support self-directed language learning. © 2025 Elsevier B.V., All rights reserved.";"EFL students; Generative AI; Language learning; Translanguaging; Writing development";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101181;"1060-3743; 10603743; 1873-1422";;;;;;;;67;;;;;;JAN 2025;MAR 2025;2025;4;87;143;2025-02-10;5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215937181&doi=10.1016%2Fj.jslw.2025.101181&partnerID=40&md5=d3f63a91fceda5e9afe53d19f2c2bcb9;;Q1;Q1;True;True
"de Oliveira, Luciana C.; dos Santos, Allessandra Elisabeth; de Oliveira, L.C.; Dos Santos, A.E.";Using AI-text generated mentor texts for genre-based pedagogy in second language writing;This article explores the integration of Generative Artificial Intelligence (GenAI) tools as a resource to augment the writing of mentor texts for second language (L2) writing instruction. We show how two AI-generated mentor texts demonstrate typical stages and language features in two genres: Cyclical Explanation and Discussion. Guided by the theoretical perspective of systemic functional linguistics, this article identifies key language features in these mentor texts. We highlight how AI text generators integrated into the Teaching and Learning Cycle (TLC) can offer an unprecedented resource in L2 writing classrooms to identify genre features for L2 writers. © 2025 Elsevier B.V., All rights reserved.;"ChatGPT; Elementary L2 writing; Generative Artificial Intelligence (GenAI); Mentor texts; Systemic functional linguistics; Teaching and learning cycle";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101184;"1060-3743; 10603743; 1873-1422";;;;;;;;67;;;;;;FEB 2025;MAR 2025;2025;3;81;107;2025-03-11;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218898724&doi=10.1016%2Fj.jslw.2025.101184&partnerID=40&md5=01b0af7c851a90720ac910b6d37ff5cf;;Q1;Q1;True;True
"Michel, Marije; Bazhutkina, Iryna; Abel, Niklas; Strobl, Carola; Michel, M.; Menke-Bazhutkina, I.; Abel, N.; Strobl, C.";Collaborative writing based on generative AI models: Revision and deliberation processes in German as a foreign language;"The introduction of generative AI (GenAI, e.g., ChatGPT) has transformed second language (L2) writing practices. Writers need to learn how to critically employ the tools' affordances to maximise their learning and L2 instructors face the challenge of guiding students through these novel contexts (cf. Sasaki, 2023). Also collaborative writing (CW) interventions have to find ways how to include GenAI as another technology that impacts the effectiveness of CW as an instructional L2 writing tool (cf. Storch, 2022; Su et al., 2023). In this study, we present an in-depth analysis of how GenAI influences revision and deliberation processes during CW within four writing pairs (N = 8; aged 18-23) engaging in a classroom-based intervention that tasked them to compare their own writing with GenAI models. We analysed screen recordings of evolving revision behaviours, changes in text quality as well as joint discussions among pairs. Complementing Strobl, Menke-Bazhutkina, Abel, and Michel (2024), the current paper (i) relates writers' revision behaviour to text quality evaluated for functional adequacy (Kuiken & Vedder, 2017); and (ii) presents a fine-grained review of dialogues to identify patterns of CW revisions in interaction with GenAI models. Findings shed new light on CW models (Storch, 2009) in the digital era where GenAI is implemented in L2 writing and revision instruction.; The introduction of generative AI (GenAI, e.g., ChatGPT) has transformed second language (L2) writing practices. Writers need to learn how to critically employ the tools’ affordances to maximise their learning and L2 instructors face the challenge of guiding students through these novel contexts (cf. Sasaki, 2023). Also collaborative writing (CW) interventions have to find ways how to include GenAI as another technology that impacts the effectiveness of CW as an instructional L2 writing tool (cf. Storch, 2022; aged 18–23) engaging in a classroom-based intervention that tasked them to compare their own writing with GenAI models. We analysed screen recordings of evolving revision behaviours, changes in text quality as well as joint discussions among pairs. Complementing Strobl, Menke-Bazhutkina, Abel, and Michel (2024), the current paper (i) relates writers’ revision behaviour to text quality evaluated for functional adequacy (Kuiken & Vedder, 2017); and (ii) presents a fine-grained review of dialogues to identify patterns of CW revisions in interaction with GenAI models. Findings shed new light on CW models (Storch, 2009) in the digital era where GenAI is implemented in L2 writing and revision instruction. © 2025 Elsevier B.V., All rights reserved.";"ChatGPT; Collaborative writing; Functional adequacy; L2 writing pedagogy";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101185;"1060-3743; 10603743; 1873-1422";;;;;;;;67;;;;;;MAR 2025;MAR 2025;2025;2;66;93;2025-03-21;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000181561&doi=10.1016%2Fj.jslw.2025.101185&partnerID=40&md5=1b70dd498105ca5b281498bab8b00bf5;;Q1;Q1;True;True
"Darvin, Ron; Darvin, R.";The need for critical digital literacies in generative AI-mediated L2 writing;This article asserts that the use of generative AI (GenAI) technologies for L2 writing needs to involve critical digital literacies. Drawing on the initial insights from a case study exploring the GenAI practices of secondary school students in Canada, this paper highlights emergent issues surrounding the dispositions of these learners towards these tools, the designs of platforms, and the material differences in the way these tools generate responses and encourage specific practices. Recognizing the inequalities that circumscribe the use of these technologies, this paper proposes materiality, indexicality, and ideology as key constructs that help develop an understanding of critical digital literacies relevant to GenAI-mediated L2 writing and digital multimodal composing. These constructs draw attention to how platform designs and other material processes, together with learner access to resources, can steer learners toward particular interactions and discourses. By understanding how GenAI platforms trained on large datasets can privilege certain ways of thinking and writing, L2 writers can develop a more critical perspective of how these technologies can shape the way we write ourselves into being. © 2025 Elsevier B.V., All rights reserved.;"Critical digital literacies; Generative artificial intelligence; Ideology; Indexicality; Materiality; Platform design";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101186;"1060-3743; 10603743; 1873-1422";;;;;;;;67;;;;;;FEB 2025;MAR 2025;2025;19;61;90;2025-02-23;15;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216943290&doi=10.1016%2Fj.jslw.2025.101186&partnerID=40&md5=555e1104e280cf59c8e012f165771965;;Q1;Q1;True;True
"Wang, Chaoran; Wang, Zhaozhe; Wang, C.; Wang, Z.";Investigating L2 writers' critical AI literacy in AI-assisted writing: An APSE model;"While the need to foster critical AI literacy (CAIL) among L2 writers has gained increasing recognition, research offering empirically grounded models for integrating CAIL into L2 writing remains limited. To contribute to the ongoing research in AI-assisted L2 writing and CAIL, we designed the current study to understand how students used ChatGPT, a popular generative AI technology, to support their writing and to uncover their CAIL in their writing practices in two first-year writing classes in the US. Adopting a qualitative case study design, we analyzed students' interview data, written reflections, AI logs, and screencasts of students' interactions with AI. Findings show that students utilized AI in various ways, including topic selection and brainstorming, outlining, revising, editing, and sourcing. We propose an APSE model based on four dimensions identified in students' CAIL while using ChatGPT: (1) critical awareness of AI (A), (2) critical positionality (P), (3) critical strategies for interacting with AI (S), and (4) critical evaluation of AI affordances (E). The model highlights the distinct yet overlapping components of CAIL and addresses specific concerns that L2 writers face to leverage generative AI's linguistic and rhetorical resources critically. Pedagogical implications include explicit instruction on CAIL, developing students' AI feedback literacy, fostering meta-skills in communication and evaluation, and enhancing their AI-assisted self-directed learning skills.; While the need to foster critical AI literacy (CAIL) among L2 writers has gained increasing recognition, research offering empirically grounded models for integrating CAIL into L2 writing remains limited. To contribute to the ongoing research in AI-assisted L2 writing and CAIL, we designed the current study to understand how students used ChatGPT, a popular generative AI technology, to support their writing and to uncover their CAIL in their writing practices in two first-year writing classes in the US. Adopting a qualitative case study design, we analyzed students’ interview data, written reflections, AI logs, and screencasts of students’ interactions with AI. Findings show that students utilized AI in various ways, including topic selection and brainstorming, outlining, revising, editing, and sourcing. We propose an APSE model based on four dimensions identified in students' CAIL while using ChatGPT: (1) critical awareness of AI (A), (2) critical positionality (P), (3) critical strategies for interacting with AI (S), and (4) critical evaluation of AI affordances (E). The model highlights the distinct yet overlapping components of CAIL and addresses specific concerns that L2 writers face to leverage generative AI's linguistic and rhetorical resources critically. Pedagogical implications include explicit instruction on CAIL, developing students’ AI feedback literacy, fostering meta-skills in communication and evaluation, and enhancing their AI-assisted self-directed learning skills. © 2025 Elsevier B.V., All rights reserved.";"AI literacy; AI-assisted writing; Artificial intelligence; ChatGPT; Critical; Generative AI; L2 writing";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101187;"1060-3743; 10603743; 1873-1422";;;;;;;;67;;;;;;FEB 2025;MAR 2025;2025;21;176;255;2025-02-27;17;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217692161&doi=10.1016%2Fj.jslw.2025.101187&partnerID=40&md5=e2f621a4e864dbeadfda03468ebb6dd0;;Q1;Q1;True;True
Yeung, S.;University students’ engagement with generative AI-supported automated writing evaluation (AWE) feedback;Studies have shown that engagement with automated writing evaluation (AWE) feedback can have a positive impact on writing development. With the emergence of generative AI (GAI), there is potential to improve AWE feedback and its reception by writers, calling for research on how writers work with GAI-supported AWE feedback. This study therefore aims to examine students’ behavioural, cognitive and affective engagement with such feedback through a GAI-powered AWE platform, Learnalytics. A qualitative, multiple-case study approach was adopted. Four undergraduate engineering students with diverse backgrounds and varying levels of writing proficiency at a university in Hong Kong were invited to use Learnalytics to complete and revise their drafts of a research report for capstone project courses. Data were collected through student drafts, computer screen recordings, stimulated recall sessions and semi-structured interviews, and were analysed qualitatively. Findings reveal how forms and levels of engagement were mediated by individual differences and various aspects of participants’ writing process, experience and considerations. This study contributes to the growing body of research into the intersection of GAI and L2 writing. (174 words) © 2025 Elsevier B.V., All rights reserved.;"Academic writing; Automated writing evaluation; Engagement; Feedback; Generative AI; Writing assessment";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101203;10603743;;;;;;;;68;;;;;;;;;;;;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002495322&doi=10.1016%2Fj.jslw.2025.101203&partnerID=40&md5=f43e984e2de48e42719e3df00b563c5f;;Q1;Q1;True;True
"Sandstead, Martha; Kibler, Amanda; Sandstead, M.; Kibler, A.";Voice in L2 writing in the age of AI;"Recent developments in artificial intelligence (AI) and the release of ChatGPT, a Large Language Model (LLM) or chatbot, have left researchers and practitioners scrambling to consider how these tools fit into L2 writing instruction and how to design policies and practices around their use. Furthermore, as texts generated from these tools potentially get closer to sounding human, the following question arises: How do writers represent their identities in writing and why does it matter? The concept of voice in writing has been used to describe the presence of the authors' identities in text. In this paper, we define voice in writing, both in human composed texts and AI written/assisted texts. We argue that voice is an important theoretical construct to consider in conversations about AI and its use in L2 writing instruction.; Recent developments in artificial intelligence (AI) and the release of ChatGPT, a Large Language Model (LLM) or chatbot, have left researchers and practitioners scrambling to consider how these tools fit into L2 writing instruction and how to design policies and practices around their use. Furthermore, as texts generated from these tools potentially get closer to sounding human, the following question arises: How do writers represent their identities in writing and why does it matter? The concept of “voice” in writing has been used to describe the presence of the authors’ identities in text. In this paper, we define voice in writing, both in human composed texts and AI written/assisted texts. We argue that voice is an important theoretical construct to consider in conversations about AI and its use in L2 writing instruction. © 2025 Elsevier B.V., All rights reserved.";"Artificial Intelligence (AI); Chatbot; ChatGPT; Instruction; Student writing; Voice; Writing";;Journal of Second Language Writing;Article;Elsevier Ltd;10.1016/j.jslw.2025.101212;"1060-3743; 10603743; 1873-1422";;;;;;;;69;;;;;;;SEP 2025;2025;2;34;34;2025-06-08;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006513098&doi=10.1016%2Fj.jslw.2025.101212&partnerID=40&md5=8f3297f837114e478ce36113e50333a1;;Q1;Q1;True;True
