Authors;Title;Abstract;Author Keywords;Index Keywords;Source Title;Document Type;Publisher;DOI;ISSN;ISBN;Book Authors;Group Authors;Book Group Authors;Book Editors;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Start Page;End Page;Book DOI;Early Access Date;Publication Date;Publication Year;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Indexed Date;Cited by;Link;PubMed ID;SJR_Q;JCR_Q;SJR_found;JCR_found;Removal_reason
"Kerr, R.C.; Kim, H.";From Prompts to Plans: A Case Study of Pre-Service EFL Teachers’ Use of Generative AI for Lesson Planning;The present study investigates the use of generative artificial intelligence (AI) tools by pre-service teachers (PSTs) in lesson planning for a middle-school English as a foreign language (EFL) class, aiming to address gaps and inform teacher training. The case study examined PSTs in a South Korean university course who were tasked with creating lesson plans using generative AI to aid in lesson plan development for a middle school lesson that incorporated generative AI. Data were analyzed thematically, and results revealed that generative AI was used in topic selection, material creation, lesson organization, and language checking. While generative AI facilitated efficiency and creativity, challenges emerged, including the quality of outputs and limited incorporation of effective pedagogical strategies. These findings indicate a need for targeted training in prompt engineering, ethical considerations, pedagogy, and collaborative practices to enhance PSTs’ generative AI competencies. This study contributes to teacher education programs by providing insights into the practical integration of generative AI in pedagogical practices. © 2025 Elsevier B.V., All rights reserved.;"AI-enhanced language learning; generative AI; lesson-planning; pre-service EFL teacher training";;English Teaching (South Korea);Article;Korea Association of Teachers of English;10.15858/engtea.80.1.202503.95;"10177108; 26719312";;;;;;;;80;1;;;;;;;;;;;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001236297&doi=10.15858%2Fengtea.80.1.202503.95&partnerID=40&md5=ebe133a950d0603cf41143a8332131a1;;Q3;;True;False;Journal not found in DBs
"Del Giglio, Auro; da Costa, Mateus Uerlei Pereira; del Giglio, A.D.; da Costa, M.U.P.";The use of artificial intelligence to improve the scientific writing of non-native english speakers;"OBJECTIVE: Scientific writing in English is a daunting task for non-native English speakers. The challenges of writing in a foreign language are evident in the scientific literature where texts by non-native English-speaking scientists tend to be less clear and succinct, contain grammatical errors, and are often rejected by prestigious journals. METHODS: We conducted a non-systematic review of the most recent literature using the terms Artificial Intelligence, Scientific Writing, and Non-English Speaking to create a narrative review. RESULTS: Artificial intelligence can be a solution to improve scientific writing, especially for non-native English-speaking scientists. Artificial intelligence can assist in the search for pertinent scientific papers, generate summaries, and help with the writing of different sections of the manuscript, including the abstract, introduction, methods, results, and discussion. Artificial intelligence-based programs can correct grammatical errors and improve writing style, both of which are particularly helpful for non-native English speakers. Two artificial intelligence programs that can help with the search for pertinent scientific papers on the internet are Elicit and ResearchRabbit. Scispace Copilot can be used to summarize the retrieved reference. The artificial intelligence software programs such as Grammarly and Paperpal can correct grammatical and spelling errors, while ChatGPT can also restructure sentences and paragraphs, reword text, and suggest appropriate words and phrases. CONCLUSION: Overall, artificial intelligence can be an effective tool to improve the clarity, style, and coherence of scientific writing, helping nonnative English-speaking scientists to communicate their research more effectively.; OBJECTIVE: Scientific writing in English is a daunting task for non-native English speakers. The challenges of writing in a foreign language are evident in the scientific literature where texts by non-native English-speaking scientists tend to be less clear and succinct, contain grammatical errors, and are often rejected by prestigious journals. METHODS: We conducted a non-systematic review of the most recent literature using the terms “Artificial Intelligence,” “Scientific Writing,” and “Non-English Speaking” to create a narrative review. RESULTS: Artificial intelligence can be a solution to improve scientific writing, especially for non-native English-speaking scientists. Artificial intelligence can assist in the search for pertinent scientific papers, generate summaries, and help with the writing of different sections of the manuscript, including the abstract, introduction, methods, results, and discussion. Artificial intelligence-based programs can correct grammatical errors and improve writing style, both of which are particularly helpful for non-native English speakers. Two artificial intelligence programs that can help with the search for pertinent scientific papers on the internet are Elicit and ResearchRabbit. Scispace Copilot can be used to summarize the retrieved reference. The artificial intelligence software programs such as Grammarly and Paperpal can correct grammatical and spelling errors, while ChatGPT can also restructure sentences and paragraphs, reword text, and suggest appropriate words and phrases. CONCLUSION: Overall, artificial intelligence can be an effective tool to improve the clarity, style, and coherence of scientific writing, helping nonnative English-speaking scientists to communicate their research more effectively. © 2023 Elsevier B.V., All rights reserved.";"Artificial intelligence; Internet; Language; Writing, medical";"Article; artificial intelligence; bibliographic database; English (language); error proofing; grammar; human; learning; plagiarism; responsibility; scientific writing; spelling; writing; Internet; language; physician; Artificial Intelligence; Humans; Language; Physicians; Writing";Revista da Associacao Medica Brasileira;Article;Associacao Medica Brasileira;10.1590/1806-9282.20230560;"0104-4230; 01044230; 18069282; 1806-9282";;;;;;;;69;9;;;;;;2023;2023;70;21;162;2023-10-24;67;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171808283&doi=10.1590%2F1806-9282.20230560&partnerID=40&md5=11d7147e40a159559df1f3856ed933bb;37729376;Q3;Q2;True;True;Below Q2 in one or both DBs
"Bergmann, Juliana Cristina Faggion; Cesco, Andrea; Pivetta, Luzia Antonelli; Nunes, Gabriela Marcal";Contrastive translations in additional language learning: analysis of paths and limitations using Artificial Intelligence;This article analyzes the results of a contrastive translation activity comparing translations produced by learners of Spanish as an additional language, without the use of technologies, with the translations generated by Artificial Intelligences (AIs). The objective is to observe and understand the possibilities and limitations of machine translation models, critically reflecting on both human and AI-generated translations in terms of stylistic, cultural, lexical and linguistic adequacy issues, among other aspects, as well as the importance of the human translator. The article begins with a presentation of concepts regarding the use of translation in the classroom - a practice that has regained attention in recent decades - particularly in the context of foreign language teaching and learning through pedagogical translation. We then explore the role of generative AI as a tool for achieving educational objectives and conclude with a critical-reflective analysis of the didactic translation sequence proposed to learners, assessing its possibilities, challenges, and outcomes.;;;TEXTO LIVRE-LINGUAGEM E TECNOLOGIA;Article;;10.1590/1983-3652.2025.56541;1983-3652;;;;;;;;18;;;;;;;2025;2025;0;4;4;2025-05-24;;;;Q2;;True;False;Journal not found in DBs
"Chugai, Oksana; Lytovchenko, Iryna; Synekop, Oksana; Chugai, O.; Lytovchenko, I.; Synekop, O.";"University teachers’ perceptions, experiences and implications for using ChatGPT in ESL; Percepções, experiências e implicações de professores universitários para o uso do ChatGPT em ESL";"Artificial Intelligence (AI) has become an inseparable part of higher education, affecting the various educational environments. Teachers play a vital role in adopting new educational tools, including AI technology. However, the use of AI, ChatGPT in particular, in language learning remains under-investigated. This study aims to explore English as a Second Language (ESL) teachers' perceptions of using ChatGPT, their hands-on experiences and implications for future research. We used a mixed research design to collect quantitative and qualitative data based on a five-point Likert scale. Key findings indicate that nearly sixty percent of ESL teachers were satisfied with ChatGPT's assistance, and half thought it positively influenced their performance as ESL teachers. ChatGPT was easy to use for two-thirds of respondents. However, more than half of ESL teachers described challenges like faulty or irrelevant information that needed checking, low-quality responses and ethical issues. Interestingly, the majority of ESL teachers would recommend implementing ChatGPT into teaching. Whereas it saves time for teachers doing routine tasks, providing immediate feedback and generating ideas, it is evident that ESL teachers need more training in developing AI literacy. This exploratory study requires further research, which could investigate perceptions of educators with wider levels of expertise and areas of professional interest.; Artificial Intelligence (AI) has become an inseparable part of higher education, affecting the various educational environments. Teachers play a vital role in adopting new educational tools, including AI technology. However, the use of AI, ChatGPT in particular, in language learning remains under-investigated. This study aims to explore English as a Second Language (ESL) teachers’ perceptions of using ChatGPT, their hands-on experiences and implications for future research. We used a mixed research design to collect quantitative and qualitative data based on a five-point Likert scale. Key findings indicate that nearly sixty percent of ESL teachers were satisfied with ChatGPT’s assistance, and half thought it positively influenced their performance as ESL teachers. ChatGPT was easy to use for two-thirds of respondents. However, more than half of ESL teachers described challenges like faulty or irrelevant information that needed checking, low-quality responses and ethical issues. Interestingly, the majority of ESL teachers would recommend implementing ChatGPT into teaching. Whereas it saves time for teachers doing routine tasks, providing immediate feedback and generating ideas, it is evident that ESL teachers need more training in developing AI literacy. This exploratory study requires further research, which could investigate perceptions of educators with wider levels of expertise and areas of professional interest. © 2025 Elsevier B.V., All rights reserved.";"Artificial intelligence (AI); ChatGPT; English as a Second Language (ESL); Professional development; University teachers";;Texto Livre;Article;Lundiana;10.1590/1983-3652.2025.56839;"1983-3652; 19833652";;;;;;;;18;;;;;;;2025;2025;0;7;7;2025-08-26;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016522370&doi=10.1590%2F1983-3652.2025.56839&partnerID=40&md5=0e8251ad11acc2eabd9d8cd758af240c;;Q2;;True;False;Journal not found in DBs
Pinninti, Lakshmana Rao;Undergraduate ESL students' use and perceptions of ChatGPT for academic writing purposes;While research on ChatGPT's role in instruction has witnessed rapid growth in recent years, fewer studies have paid attention to exploring undergraduate students' perceptions of ChatGPT in English as a Second Language (ESL) academic writing contexts. To address this gap, the current study aimed to survey undergraduate ESL students' use of ChatGPT for academic writing and their perceptions of its trustworthiness and utility. An intact class enrolled in an intensive academic writing course at a public science and engineering institute in India participated in the survey. Employing Likert-scale and multiple-choice questions, along with an openended item, the study collected data from 51 (13 female and 38 male) respondents and analysed it using descriptive statistics to identify trends and patterns in participants' responses. Most respondents reported that they regularly used ChatGPT to generate and review academic texts. They appeared to express caution regarding the trustworthiness of its responses to academic writing queries and acknowledged its mechanised accuracy in summarising and correcting grammar and vocabulary mistakes. Though their confidence levels in using ChatGPT were moderate, most of them expressed willingness to use it more frequently for academic writing in the future. The findings indicate undergraduate ESL students' increasing reliance on ChatGPT and their perceptions of its strengths and limitations as a supportive academic writing tool, implying the need for guidance in its effective and ethical use.;;;TEXTO LIVRE-LINGUAGEM E TECNOLOGIA;Article;;10.1590/1983-3652.2025.58320;1983-3652;;;;;;;;18;;;;;;;2025;2025;0;1;1;2025-09-21;;;;Q2;;True;False;Journal not found in DBs
KIYUMI;A Preliminary Study on the Use and Limitations of ChatGPT as an Auxiliary Tool for Foreign Language Learning;ChatGPT has deeply integrated into our daily lives and education, and this kind of AI will continue to evolve. While some universities utilize ChatGPT in education, concerns about information errors and limitations remain. As with the advent of machine translators, its use is inevitable and cannot be fully restricted. Therefore, the role of educators is to help students understand its characteristics, review processes and outputs, and encourage independent thinking and judgment. When new tools emerge, we must continually explore how to use them effectively within the relevant fields.This study examines the potential and limitations of using ChatGPT as an auxiliary tool for foreign language learning through practical application in dialogue tasks. For learners who lack immediate access to native speakers, ChatGPT offers a secondary method for practicing and experiencing conversations, providing some positive utility. Although this research is based on observations of a small group of participants and cannot be fully generalized, it offers insights into the specific characteristics of ChatGPT in language learning. Additionally, it explores learners’ responses and psychological changes in learning, proposing considerations for other educational contexts.To effectively use ChatGPT in language learning, it is crucial to set the learner’s proficiency level, define specific conversational contexts, and specify the desired response length. Many studies also emphasize the need to educate learners on prompt input methods. However, beyond basic settings, allowing students to explore and develop questioning skills on their own could be more effective in the long run. Encouraging learners to think independently and formulate better questions can itself be a valuable learning process. Future research should continue to explore strategies for using ChatGPT in language education across diverse learner groups.;;;The Journal of Study on Language and Culture of Korea and China;research-article;;10.16874/jslckc.2024..74.001;1738-0502;;;;;;;;74;;;3;28;;;2024;2024;0;0;1;2024-12-27;;;;;;False;False;Journal not found in DBs
"Kumar, A.; Vasudevan, A.; Debyani, D.; Nanda, S.; Rizvi, A.H.";Towards Quality Education: AI-Supported English Pedagogy in Humanities and Engineering for SDG Implementation;The integration of artificial intelligence (AI) into English language instruction has been examined across two higher education contexts: humanities-based composition classes in California and STEM-focused English camps in Iran. Using a convergent mixed-methods design— combining surveys, writing artefacts, interviews, focus groups, and performance assessments—the analysis highlights how AI functions most effectively within hybrid instructional models where human guidance remains central. In composition classes, tools such as ChatGPT facilitated brainstorming, outlining, and drafting, whereas in engineering courses, platforms like TalkPal and GPTionary enhanced technical vocabulary, corrected grammatical errors, and improved oral fluency. Students valued AI’s adaptability, immediate feedback, and interactive features, which fostered greater engagement with coursework. At the same time, concerns emerged regarding authorship, over-reliance, equitable access, cultural bias, and data privacy. Addressing these issues requires strategies aligned with the Sustainable Development Goals (SDGs), positioning AI as a pedagogical assistant rather than a substitute for teachers, thereby supporting equitable, high-quality, and globally relevant English language education. © 2025 Elsevier B.V., All rights reserved.;"Artificial Intelligence; Educational Technology; Higher Education; Pedagogy; Sustainable Development Goals";;Journal of Engineering Education Transformations;Article;Rajarambapu Institute Of Technology;10.16920/jeet/2025/v39is1/25135;"23941707; 23492473";;;;;;;;39;Special Issue 1;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016886954&doi=10.16920%2Fjeet%2F2025%2Fv39is1%2F25135&partnerID=40&md5=600663003fb15eff829c8cb94ac18240;;Q2;;True;False;Journal not found in DBs
"Rodomanchenko, Aida S.; Sorokina, Elena, V";Using artificial intelligence to develop students' writing proficiency, language fluency, and critical thinking skills in the ESP course English for Business Communication;This research paper explores the integration of generative artificial intelligence (AI) tools in an ESP course English for Business Communication at the National Research University Higher School of Economics, with a focus on practical applications within the curriculum. It highlights the gradual integration of AI, from simple to complex tasks, into the creation of business correspondence, enhancing students' familiarity with AI technology and developing their language and critical thinking skills. The study employed a reflective analysis approach to enhance students' engagement with the AI tools, focusing on developing writing, language, and critical thinking skills. The students were required to write business documents individually and in a team, tailored to their assigned roles, ensuring the adaptation of content to specific organisational needs and responsibilities. Peer feedback was incorporated to refine written works, enriching vocabulary usage, language conventions, and cohesive expressions in students' writings. A total of 79 students participated in the course, with 41 actively engaging with the AI tools for writing tasks and 26 contributing to two surveys. The surveys were conducted to gauge student attitudes towards the course and the introduction of AI tools into the educational process. The second survey was administered three months after course completion to assess long-term impacts and reflections on the acquired skills. As students' perceptions cannot be fully considered an objective tool to measure the development of their writing and critical thinking skills, additional analysis of student writings was conducted. It involved comparing the initial, a motivational letter, and the final, a complaint letter, works written in class without AI assistance and serving as pre- and post-course assessments to evaluate changes in students' written papers. The analysis focused on changes in writing quality, critical evaluation of texts, and synthesis of information in alignment with business communication requirements. The research found that the introduction of generative AI tools in the Business English language course had a positive impact on students' writing proficiency, language fluency, and critical thinking skills, showcasing the effectiveness of integrating AI in educational settings. The surveys conducted revealed a shift in student perceptions towards AI tools, with participants recognising the value of AI in enhancing their writing abilities and critical thinking skills. Overall, the research underscored the significance of integrating AI tools in educational practices to enhance students' learning experiences, foster critical thinking, and improve language proficiency in academic and professional contexts. The paper contributes to the field of language education by demonstrating the successful integration of generative AI technologies in an educational environment, showcasing their potential for enhancing learning experiences.;;;TOMSK STATE UNIVERSITY JOURNAL;Article;;10.17223/15617793/507/23;"1561-7793; 1561-803X";;;;;;;;;507;;;;;;OCT 2024;2024;0;43;43;2025-04-19;;;;;Q4;False;True;Journal not found in DBs
Danilina, Natalia, I;Greek-Latin reminiscences in the ergonymy in Slavic languages;"Company names are now being actively studied, as they are able to perform an advertising function. Researchers call the use of foreign language elements one of the important modern trends in the naming of firms. Studies on this topic, which already exist, are based on modern words from the English language; the role of classical languages in the formation of company names does not receive an adequate coverage. The research objective is to identify what the pragmatic possibilities of ancient reminiscences in ergonymy are, and how different Slavic languages use these possibilities. The research material is the array of ergonyms from reference Internet resources of the cities Krakow, Lodz, Lviv, Odessa, Ryazan, Saratov. The author differentiates two blocks of reminiscences: cultural-linguistic and linguistic proper. The first consists of words of Greek and Latin origin in Slavic languages associated in the minds of native speakers with ancient history or mythology; the second consists of untranslated Latin words and phrases that are not included in modern languages. The volume of material that meets the accepted criteria is 663 names. The author also analyzes related phenomena: the use of Greek and Latin morphemes in ergonymy, which are in new languages, and appellatives derived from ancient proper names. In the study,.ultural-linguistic reminiscences are more characteristic of the East Slavic area than of the Polish one. Mythonyms predominate; in most cases they are used semantically correctly. The popularity of individual mythonyms (Phoenix, Mercury, Hermes) entails their derivational activity - the creation of complex ergonyms, including appellative and digital components; these motivators are involved in the nomination of a large number of objects. Among non-mythological reminiscences, precedent proper names are used more often than appellatives that name ancient realities. The author considers the array of linguistic proper reminiscences as a field. The periphery consists of morphemes in modern Slavic languages of Greek and Latin origin, which become proper names: radixoids, affixoids, term elements ( cosmo, endo, med, etc.). The near-nuclear zone consists of Latin words with roots that are radixoids in modern languages (the lexemes vita, terra, ego are popular). The volume of the nucleus in Polish is wider than in East Slavic languages. Ergonyms are stable expressions (Eureka, In vitro, Carpe diem, etc.), some Latin words (Officina, Gemini, Aurum), and nouns with prepositions. The latter phenomenon is typical only for the Polish area, where the pro + Latin noun model is regular. Latin vocabulary is used semantically correctly by nominators, but there are isolated grammatical violations. The author concludes that mass proficiency in classical languages is not typical for East Slavic cultures; therefore, mainly cultural ancient reminiscences are used to increase the status of the nominator and the recipient; for Polish culture, which is strongly influenced by Catholicism, it is more typical to use Latin vocabulary for pragmatic purposes.";;;VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOLOGIYA-TOMSK STATE UNIVERSITY JOURNAL OF PHILOLOGY;Article;;10.17223/19986645/80/3;"1998-6645; 2310-5046";;;;;;;;80;;;45;61;;;DEC 2022;2022;0;0;1;2023-02-12;;;;Q1;;True;True;Below Q2 in one or both DBs
"Sysoyev, Pavel, V; Bulochnikov, Stanislav Yu.; Sorokin, Danila O.";Artificial intelligence tools in content and language integrated learning of law students;"The selection of subject-thematic content and the development of teaching technology of foreign language and specialized discipline/specialty are the key issues of course development in the conditions of realization of content and language integrated learning. Artificial intelligence technologies and the tools created on their basis can help the teacher of an integrated course in the development of teaching content and foreign language tasks of a professional orientation. Law is one of the most demanded areas of study in Russian universities, which is chosen by a large number of students with a foreign language proficiency level of B1-B2. This level of formation of foreign language communicative competence allows them to master integrated courses within the framework of the main professional educational program, which include the dual purpose of training: a) the formation of professional foreign language communicative competence; b) the formation of professional competencies. At the same time, the main difficulty of teachers of integrated courses, most of whom have a basic linguistic education, is to develop the subject-thematic content of the course and to compile foreign-language professional tasks and cases aimed at the simultaneous and further formation of foreign-language communicative and professional competences. In this paper, the authors present a list of general professional and specialized disciplines, the content of which can constitute the content of an integrated course, as well as artificial intelligence tools, based on which students will be able to solve professional tasks in a foreign language in accordance with the chosen profile of study (civil law, criminal law and state law). The general professional block of disciplines studied by law students includes theory and history of state and law, constitutional, international, criminal and civil law, as well as legal technology. The main focus is on developing skills in working with legal documents, analyzing court decisions and preparing legal texts. To solve professional and educational tasks, it is proposed to use modern artificial intelligence tools such as ChatGPT, Doczilla AI, Mistral AI, Canva. Depending on the chosen specialization, students study specialized disciplines and apply appropriate AI tools. Students of the state law specialization can use ROSS Intelligence, LexisNexis and CaseText (CoCounsel) to analyze legislation, search for precedents and compile documents. The criminal law specialization includes in-depth study of criminal procedure, criminology, prosecution and anti-corruption The WestLaw web application can be used to search for precedents and analyze changes in criminal law. Civil law students study civil law, the legal foundations of intellectual property, damages and the reception of Roman law. AI tools such as TrademarkVision and LegalAI assist in analyzing licensing agreements, searching trademarks, and comparing legal rules. Students and teachers can use YandexGPT, GigaChat, Genie AI Legalese Decoder, etc. to perform tasks related to the preparation and completion of familiarization, industrial and pre-graduation practice. The use of these artificial intelligence tools will allow law students to deepen their knowledge in the professional sphere and form foreign language communicative and professional competencies.";;;YAZYK I KULTURA-LANGUAGE AND CULTURE;Article;;10.17223/19996195/70/12;"1999-6195; 2311-3235";;;;;;;;;70;;;;;;2025;2025;0;0;0;2025-10-18;;;;;;False;True;Journal not found in DBs
Golubinskaya, Anastasia V.;What Would Robert Merton Do if He Had ChatGPT?;In 2023, ChatGPT became the subject of many discussions, particularly about the potential negative impact of generative model usage practices on scientific creativity. This article explores the assumption that such alarming concerns are not related to the technology itself, but to how it reveals and makes noticeable the implicit cultural and value aspects of culture. The concept of R. Merton's scientific ethos is proposed as a theoretical basis for studying hidden value mechanisms in science. However, unlike the original concept, the author assumes that value orientations vary depending on whether they manifest in formal or informal discussions, whether they come from the scientists themselves during their professional practice or from other participants influencing their practice.The study is based on comparing two sets of information about how the use of ChatGPT reflects the values of modern science: formal and official sources describing the activities of scientists from a third-person perspective (they, scientists), and informal messages discussed and commented on in online communities of academic workers (I, scientist / we, scientists). It was found that the description of the problem situation changes depending on the chosen perspective. Pessimistic and anxious forecasts about the loss of human contribution are not characteristic of the first-person perspective, where through ChatGPT there is a need for discussion on a specialized topic and a desire to focus on the content of scientific activity, saving time on formal tasks ( grammar, punctuation, translation into a foreign language). This leads to the conclusion that the ethos of the scientific community is not singular, as the scientific community itself does not consist solely of scientists, and alarming fears arise as a reaction to changes in trust mechanisms between such sub-ethoses.;;;SIBERIAN HISTORICAL RESEARCH-SIBIRSKIE ISTORICHESKIE ISSLEDOVANIYA;Article;;10.17223/2312461X/43/8;"2312-461X; 2312-4628";;;;;;;;;1;;112;124;;;MAR 2024;2024;1;1;3;2024-07-16;;;;Q1;Q3;True;True;Below Q2 in one or both DBs
Al-Alami, S.E.;EFL Learners’ Attitudes Towards Utilizing ChatGPT for Acquiring Writing Skills in Higher Education: A Case Study of Computing Students;The rapid technological advancements have recently paved the way for a new era of language instruction. Amongst the technological tools which have emerged recently is ChatGPT. This study explores students' attitudes towards utilizing ChatGPT for acquisition of writing skills in English as a foreign language (EFL). Conducted during the first semester of the academic year 2023-2024, the study involved fifty-two students at a private university in Sharjah who were taking an English language course during the implementation of this study. The study used a mixed-methods design to investigate students' attitudes and quantify the findings. Two study tools were employed: a questionnaire and a semi-free interview. Comprising ten items, the questionnaire measured students' attitudes towards using ChatGPT for acquiring writing skills whilst at the same time focusing on higher-order thinking skills as they are related to effective writing. The semi-free interview, on the other hand, included the advantages and drawbacks of utilizing ChatGPT-based essay writing versus self-dependent essay writing. The findings indicated that most subjects confirmed ChatGPT's effectiveness in saving time and ensuring language accuracy. However, the progress one could make in acquiring writing skills and enhancing higher-order thinking abilities could not be seen significant. The paper concludes with recommendations for researchers to consider. © 2024 Elsevier B.V., All rights reserved.;"ChatGPT; English as a Foreign Language; essay writing; higher education; higher-order thinking skills";;Journal of Language Teaching and Research;Article;Academy Publication;10.17507/JLTR.1504.01;"20530684; 17984769";;;;;;;;15;4;;;;;;;;;;;;4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200684980&doi=10.17507%2FJLTR.1504.01&partnerID=40&md5=a2bd58d5d8a3d0318d78ee76413fb505;;Q1;;True;False;Journal not found in DBs
Almansour, N.;Investigating Factors Influencing EFL Learners’ Behavioral Intentions to Adopt ChatGPT for Language Learning;"This study explores factors that influence English as a foreign language (EFL) learners’ behavioral intention to adopt ChatGPT for language learning. To explore this topic, a research model based on the technology acceptance model (TAM) was proposed and used to evaluate hypotheses on the relationship between model constructs. The proposed model includes the constructs perceived usefulness (PU), perceived ease of use (PEoU), behavioral intentions, and computer self-efficacy. In addition, the study examines the effect of the moderating variables, gender and education level, on the relationships between the proposed model constructs. Structural equation modeling (SEM) was applied to the data of 211 EFL learners to analyze causal relationships between the model constructs and the effect of the moderating variables. Findings indicated that EFL learners’ behavioral intentions to adopt ChatGPT for language learning were greatly impacted by their PU. In addition, computer self-efficacy was a powerful determinant influencing learners’ PEoU and PU. Furthermore, education level had no significant moderating effect on learners’ perceptions or intentions to adopt ChatGPT. However, gender only moderated the relationship between computer self-efficacy and PEoU, with the relationship being stronger for women. All the proposed hypotheses on the relationships between the model constructs were supported; therefore, this study contributed to the validation of TAM for predicting learners’ acceptance and adoption of ChatGPT for language learning. © 2024 Elsevier B.V., All rights reserved.";"artificial intelligence; ChatGPT; technology acceptance model";;Journal of Language Teaching and Research;Article;Academy Publication;10.17507/jltr.1506.16;"20530684; 17984769";;;;;;;;15;6;;;;;;;;;;;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208917985&doi=10.17507%2Fjltr.1506.16&partnerID=40&md5=dfa0f55e92d1f21b80262ffde1199377;;Q1;;True;False;Journal not found in DBs
"Bani Amer, M.I.; Rababah, L.M.; Rababah, M.A.";Exploring ChatGPT as a Tool for Thesis Writing: Perspectives of EFL Supervisors in Jordanian Universities;This study examines Jordanian EFL supervisors' views on ChatGPT's usage and effects on thesis writing at private and public universities in Jordan. A questionnaire was used to collect data from 47 EFL supervisors. Closed-ended Likert-scale questions were used to quantify supervisors' opinions on ChatGPT's correctness, dependability, and usefulness in thesis writing. Supervisors gave varied views on ChatGPT's usefulness and effects on thesis writing. They agreed that ChatGPT helps students generate ideas, enhance their vocabulary, and improve their thesis writing skills. Supervisors were impartial to ChatGPT's ability to assist students in organising the thesis, delivering arguments, and overcoming writer's block. The findings also showed conflicting opinions on ChatGPT's thesis organization comments and their influence on students’ autonomy. Supervisors perceive ChatGPT's influence on supervisor-student interactions differently. The study adds to technology integration in EFL writing teaching, especially thesis writing. It quantifies supervisors' ChatGPT impressions to understand numerical trends and patterns. The results may help educational institutions and policymakers integrate ChatGPT into thesis-writing pedagogy. © 2025 Elsevier B.V., All rights reserved.;"ChatGPT; EFL Jordanian supervisors; quantitative research; writing theses";;Journal of Language Teaching and Research;Article;Academy Publication;10.17507/jltr.1601.04;"20530684; 17984769";;;;;;;;16;1;;;;;;;;;;;;10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215433746&doi=10.17507%2Fjltr.1601.04&partnerID=40&md5=e9dd2a1269f0481b834d8f0d987ebb28;;Q1;;True;False;Journal not found in DBs
"Almineeai, A.M.; Alrashed, M.A.; Hezam, T.A.; Alharthi, A.F.; Alharthi, S.F.";The Impact of ChatGPT on EFL Medical Track Students' Affective Filter;This study examines the impact of ChatGPT on reducing the affective filter and enhancing speaking proficiency among EFL medical track students. An experimental group of 18 students participated in speaking practice facilitated by artificial intelligence (AI) tools using ChatGPT. Specifically, the influence of ChatGPT was evaluated on motivation, self-esteem, and anxiety levels among English as a foreign language (EFL) learners. A mixed-methods approach was employed, combining quantitative and qualitative data collection through pre-posttests on speaking proficiency, as well as interviews. Results indicate a significant positive shift in students' anxiety levels post-intervention, along with improvements in speaking performance and reduced affective filter. ChatGPT's role in providing personalized feedback, simulated conversations, and a supportive learning environment is highlighted as an asset in language learning and emotional barrier mitigation. Further exploration into the long-term effects of AI technology in language learning is recommended to enhance teaching practices and create inclusive learning environments. © 2025 Elsevier B.V., All rights reserved.;"affective filter; ChatGPT; speaking proficiency";;Journal of Language Teaching and Research;Article;Academy Publication;10.17507/jltr.1601.17;"20530684; 17984769";;;;;;;;16;1;;;;;;;;;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215658489&doi=10.17507%2Fjltr.1601.17&partnerID=40&md5=0277cc5bb7e9b68293ac67e931107a39;;Q1;;True;False;Journal not found in DBs
"Zhang, W.; An, S.";Voice of the Insiders: Graduate Students’ Perceptions of the Application of ChatGPT in an EAP Context;Academic English writing is an essential yet challenging domain for English learners (ELs). This study explored graduate-level ELs’ perceptions of applying ChatGPT in educational settings, particularly in relation to their second/foreign language (L2) development. We collected students’ argumentative essays and conducted focus group interviews from four intact classes of an English for Academic Purposes (EAP) course at a top-tier Chinese university. Whereas the students generally had a positive attitude toward the use of ChatGPT in higher education and highlighted functions that expedited the accomplishment of academic tasks and/or facilitated academic English writing on the language level, they also tended to be cautious and defined ChatGPT as a tool that required the guidance of human agency. Such views and perceptions provide insights into how to integrate AI tools such as ChatGPT strategically and appropriately into teaching and learning in EAP courses, especially at the graduate level. © 2025 Elsevier B.V., All rights reserved.;"ChatGPT; EAP context; graduate students; higher education; language education";;Journal of Language Teaching and Research;Article;Academy Publication;10.17507/jltr.1602.35;"20530684; 17984769";;;;;;;;16;2;;;;;;;;;;;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000572692&doi=10.17507%2Fjltr.1602.35&partnerID=40&md5=66e58902f1c0edcc7d79838de2c711b0;;Q1;;True;False;Journal not found in DBs
