"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Sandstead, M.; Kibler, A.","Sandstead, Martha (57144630900); Kibler, Amanda K. (24450542700)","57144630900; 24450542700","Voice in L2 writing in the age of AI","2025","Journal of Second Language Writing","69","","101212","","","0","2","10.1016/j.jslw.2025.101212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006513098&doi=10.1016%2Fj.jslw.2025.101212&partnerID=40&md5=8f3297f837114e478ce36113e50333a1","Recent developments in artificial intelligence (AI) and the release of ChatGPT, a Large Language Model (LLM) or chatbot, have left researchers and practitioners scrambling to consider how these tools fit into L2 writing instruction and how to design policies and practices around their use. Furthermore, as texts generated from these tools potentially get closer to sounding human, the following question arises: How do writers represent their identities in writing and why does it matter? The concept of “voice” in writing has been used to describe the presence of the authors’ identities in text. In this paper, we define voice in writing, both in human composed texts and AI written/assisted texts. We argue that voice is an important theoretical construct to consider in conversations about AI and its use in L2 writing instruction. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence (AI); Chatbot; ChatGPT; Instruction; Student writing; Voice; Writing","","","Elsevier Ltd","10603743","","","","Article","Final","","Scopus","2-s2.0-105006513098"
"Hirschi, K.; Kang, O.; Yang, M.; Hansen, J.H.L.; Beloin, K.","Hirschi, Kevin (57221103592); Kang, Okim (35173093300); Yang, Mu (59904148400); Hansen, John H.L. (57209596602); Beloin, Kyle (57233267600)","57221103592; 35173093300; 59904148400; 57209596602; 57233267600","Artificial Intelligence-Generated Feedback for Second Language Intelligibility: An Exploratory Intervention Study on Effects and Perceptions","2025","Language Learning","75","","","204","241","0","0","10.1111/lang.12719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005513996&doi=10.1111%2Flang.12719&partnerID=40&md5=1ee4295003eea2856908c4b334a8412d","This study investigated the use of Artificial Intelligence (AI) models and signal detection processes to generate meaningful visual and ChatGPT-like narrative feedback on second language (L2) English intelligibility. To test the effects and perceptions of such techniques, three groups of learners (N = 90) received visual and narrative feedback (n = 30), visual-only feedback (n = 29), and no feedback (n = 31) in an online self-paced intervention with explicit instruction on segmental and suprasegmental features of intelligibility. Pre/postspeaking tasks were evaluated by raters for intelligibility, comprehensibility, and accentedness, as well as segmental and suprasegmental accuracy, in scripted and spontaneous speech. The results indicate that visual feedback improves prominence production, but only those participants who also received the narrative (i.e., ChatGPT) feedback improved in two of the three prosodic features and in intelligibility. However, those who received narrative feedback had the lowest perceptions of the practice activity helpfulness. Implications for the use and improvement of AI-based pronunciation feedback are provided. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; computer-assisted pronunciation training; L2 pronunciation","","","John Wiley and Sons Inc","00238333; 14679922","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005513996"
"Li, Y.; Chiu, T.K.F.","Li, Yan (59324398300); Chiu, Thomas K.F. (56435413000)","59324398300; 56435413000","The mediating effects of needs satisfaction on the relationship between teacher support and student engagement with generative artificial intelligence (GenAI) chatbots from a self-determination theory (SDT) perspective","2025","Education and Information Technologies","30","14","","20051","20070","0","4","10.1007/s10639-025-13574-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003258666&doi=10.1007%2Fs10639-025-13574-w&partnerID=40&md5=22c5b3e677a528a1588893b23843a9d0","Generative artificial intelligence (GenAI) chatbots, such as ChatGPT and ERNIE Bot, are documented to influence student learning experience and student engagement. However, factors affecting student engagement in GenAI chatbots learning context are less understood. Self-determination theory (SDT) suggests student basic needs satisfaction–autonomy, competence, and relatedness– are associated with student behavioral, cognitive, emotional and agentic engagement. Teacher support– autonomy, structure, and involvement– derived by the three SDT needs. Hence, this study aims to clarify how factors (i.e., teacher support, student needs satisfaction) affect student engagement in this GenAI context in second language (L2) education. It examines the mediating effect of needs satisfaction on the relationship between teacher support and student engagement with a chatbot Data was collected from 364 university students through a questionnaire. The participants learned English as second language with ERNIE Bot under teacher support for four sessions. Our results revealed that needs satisfaction could partially mediate the relationship between teacher support and student behavioral, cognitive, and agentic engagement. They also suggest that needs satisfaction fully mediates the relationship between teacher support and emotional engagement. These suggests that GenAI chatbots better emotionally engage students in language learning than teachers do. One possible explanation for this is that students found learning with chatbots to be enjoyable and stress-free in L2 education. The results suggest teachers should take AI chatbot’s affordance and student feeling into account for emotional engagement when using GenAI chatbots. We suggest future studies should include additional factors such as personality and peer support. © 2025 Elsevier B.V., All rights reserved.","GenAI chatbots; Language learning; SDT; Student engagement; Teacher support","","","Springer","13602357","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105003258666"
"Al-Qadri, A.H.; Al-Khresheh, M.H.","Al-Qadri, Abdo Hasan (57224995036); Al-Khresheh, Mohammad Hamad (36599864300)","57224995036; 36599864300","Dimensions of artificial intelligence acceptance among pre-service EFL teachers: exploring usability, usefulness, social norms, ethics and intentions using ChatGPT","2025","Electronic Library","43","4","","669","690","0","0","10.1108/EL-12-2024-0391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016760688&doi=10.1108%2FEL-12-2024-0391&partnerID=40&md5=f4259c39d0ae7afa90a53cb84d547592","Purpose – This study aims to examine the factors influencing acceptance and intention to use ChatGPT among Yemeni pre-service English as a Foreign Language (EFL) teachers. Using a quantitative cross-sectional research design, 597 participants were selected through stratified random sampling from Yemeni universities. Design/methodology/approach – A questionnaire was used to collect data, divided into two parts comprising 31 items. Data were analysed using three statistical techniques. Exploratory factor analysis was initially used to uncover the essential structures within the questionnaire data, identifying emergent patterns and confirming scale constructs from multiple perspectives. Confirmatory factor analysis was subsequently conducted to validate these structures, assessing the reliability and validity of the constructs by evaluating the fit of the hypothesized models. Finally, structural equation modelling was applied to further investigate the relationships between the constructs. Findings – The results revealed that perceived ease of use, usefulness and social norms had significant positive effects on the intention to use ChatGPT, while perceived ethics had a significant negative influence. Perceived ease of use and perceived usefulness also positively influenced social norms and perceived ethics. Mediation analysis showed that social norms positively mediated the relationships between perceived ease of use and intention to use, as well as perceived usefulness and intention to use, while perceived ethics negatively mediated these relationships. The findings affirm the importance of user-friendly and beneficial artificial intelligence (AI) tools and the need to address ethical concerns to promote acceptance. Originality/value – This study offers timely insights into how Yemeni pre-service EFL teachers perceive and accept ChatGPT in their teaching practice. It goes beyond common adoption models by exploring not only usability and usefulness but also ethical concerns and social influences, which are often overlooked in similar research. By focusing on a resource-limited educational context, the study brings a fresh perspective to AI integration in language education and provides practical guidance for teacher preparation programs aiming to introduce emerging technologies responsibly. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence in education; ChatGPT adoption; Pre-service EFL teachers; Technology acceptance model","","","Emerald Publishing","02640473","","ELLID","","Article","Final","","Scopus","2-s2.0-105016760688"
"Liu, R.; Wang, X.; Xie, S.; Luo, X.; Su, H.","Liu, Ruishen (58987331700); Wang, Xinzhi (56156499300); Xie, Shaorong (7401936751); Luo, Xiangfeng (23479777500); Su, Huizhe (58519337000)","58987331700; 56156499300; 7401936751; 23479777500; 58519337000","FL-Evo: Jointly modeling fact and logic evolution patterns for temporal knowledge graph reasoning","2025","Expert Systems with Applications","286","","128081","","","0","0","10.1016/j.eswa.2025.128081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005078355&doi=10.1016%2Fj.eswa.2025.128081&partnerID=40&md5=a89ed34aa11a8bc5cb3ef8b2a4435600","Temporal knowledge graphs (TKGs) extrapolation reasoning, intending to predict future events given the known KG sequence, benefits broad applications like policy-making and financial analysis. The key to this issue is to discern how knowledge evolves within these sequences. Currently, most works focus on modeling the evolution patterns through continuous sampling from TKGs, without ensuring the samples contain relevant facts or considering the knowledge beyond the samples. Faced with these challenges, we propose a novel model that performs prediction by capturing fact and logic knowledge evolution patterns (FL-Evo). For modeling fact evolution pattern, the fact knowledge is first distilled from large language models using designed prompts and subsequently refined with TKG. Then, entity-based subgraph sampling strategy extracts relevant facts from the TKG, capturing fact evolution patterns. Furthermore, logical knowledge mined from the TKG helps to derive the corresponding evolution pattern. Finally, the outputs of these two evolution patterns are integrated to realize the final prediction. Experimental results on five benchmark datasets demonstrate that FL-Evo outperforms existing temporal knowledge graph reasoning models, with improvements of up to 3.97 % in Hit@3 and 4.07 % in Hit@10. Notably, FL-Evo substantially enhances reasoning performance for unseen entities lacking prior records. © 2025 Elsevier B.V., All rights reserved.","Extrapolation reasoning; Large language model; Temporal knowledge graph; Unseen entity prediction","Temporal logic; Broad application; Evolution patterns; Extrapolation reasoning; Knowledge graphs; Language model; Large language model; Policy making; Temporal knowledge; Temporal knowledge graph; Unseen entity prediction; Knowledge graph","","Elsevier Ltd","09574174","","ESAPE","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105005078355"
"Conte, L.; Lupo, R.; Lezzi, P.; Panzanaro, L.; Rizzo, F.; Fasano, A.; Lezzi, T.; Rubbi, I.; Vitale, E.; Artioli, G.; Cascio, D.; De Nunzio, G.","Conte, Luana (56911960400); Lupo, Roberto (57189011384); Lezzi, Pierluigi (57872211300); Panzanaro, Ludovica (58779341400); Rizzo, Francesco (60053282500); Fasano, Antonio (56735752800); Lezzi, Tania (57872211400); Rubbi, Ivan (55430913000); Vitale, Elsa (24342133600); Artioli, Giovanna (56868350400); Cascio, Donato (35619975800); De Nunzio, Giorgio (6603335538)","56911960400; 57189011384; 57872211300; 58779341400; 60053282500; 56735752800; 57872211400; 55430913000; 24342133600; 56868350400; 35619975800; 6603335538","Exploring the mental strength of myasthenia gravis patients: A statistical and language learning model approach for understanding coping and adaptation","2025","Acta Biomedica","96","4","16926","","","0","0","10.23750/abm.v96i4.16926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013601919&doi=10.23750%2Fabm.v96i4.16926&partnerID=40&md5=06c5f592d69ee49902796d03ed787f65","Background and aim: Myasthenia Gravis (MG) is a chronic autoimmune neuromuscular disorder characterized by muscle weakness and fatigue, significantly affecting physical abilities, emotional well-being, and social interactions. Coping strategies play a crucial role in disease management, yet there is limited knowledge on how MG patients adapt to their condition. This study aims to explore the coping mechanisms employed by individuals with MG to identify patterns that may inform targeted interventions for improving their overall well-being. Methods: We conducted an anonymous online survey from January to April 2023, recruiting MG patients through social media groups. The survey included socio-demographic questions and the validated Coping Orientation to Problems Experienced (COPE-NVI-25) questionnaire to assess coping strategies. Additionally, two open-ended questions allowed participants to express their concerns and suggestions regarding disease management. We analyzed structured responses using statistical methods, while open-ended responses were processed through a Large Language Model (LLM)-assisted sentiment analysis and clustering technique. Results: A total of 215 MG patients participated. Most respondents lacked prior knowledge of MG before diagnosis and reported dissatisfaction with available health education. COPE-NVI-25 results showed that Positive Attitude was the most frequently adopted strategy, while Avoidance Strategies and Transcendent Orientation were the least used. LLM-assisted analysis of open-ended responses highlighted patients’ concerns regarding inadequate communication with healthcare providers, lack of guidance on coping strategies, and the desire for more patient-centered care. Conclusions: This study provides novel insights into the coping strategies of MG patients, highlighting the need for improved education and tailored interventions. (www.actabiomedica.it). © 2025 Elsevier B.V., All rights reserved.","COPE-NVI-25 questionnaire; coping impairment; large language model; myasthenia gravis","adaptation; adult; Article; COPE inventory; coping; Cronbach alpha coefficient; female; health care personnel; health education; human; language development; large language model; male; middle aged; multiple linear regression analysis; myasthenia gravis; principal component analysis; sentiment analysis; social media; social support; univariate analysis","","Mattioli 1885","25316745; 03924203","","ATPRA","","Article","Final","","Scopus","2-s2.0-105013601919"
"Xu, S.; Su, Y.; Liu, K.","Xu, Simin (59196651500); Su, Yanfang (55704991400); Liu, Kanglong (57189262888)","59196651500; 55704991400; 57189262888","Investigating student engagement with AI-driven feedback in translation revision: A mixed-methods study","2025","Education and Information Technologies","30","12","","16969","16995","0","11","10.1007/s10639-025-13457-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000356374&doi=10.1007%2Fs10639-025-13457-0&partnerID=40&md5=c611ece6d2eb2149c71d5c1886a3fc69","Despite the well-established importance of feedback in education, the application of Artificial Intelligence (AI)-generated feedback, particularly from language models like ChatGPT, remains understudied in translation education. This study investigates the engagement of Master’s students in translation with ChatGPT-generated feedback during their revision process. A mixed-methods approach, combining a translation-and-revision experiment with quantitative and qualitative analyses, was employed to examine the feedback, translations before and after revision, the revision process, and student reflections. The results reveal complex interrelations among cognitive, affective, and behavioural dimensions influencing students’ engagement with AI feedback and their subsequent revisions. Specifically, the findings indicate that students invested considerable cognitive effort in the revision process, despite finding the feedback comprehensible. Moreover, they exhibited moderate affective satisfaction with the feedback model. Behaviourally, their actions were largely influenced by cognitive and affective factors, although some inconsistencies were observed. This research provides novel insights into the potential applications of AI-generated feedback in translation teaching and opens avenues for further investigation into the integration of AI tools in language teaching settings. © 2025 Elsevier B.V., All rights reserved.","AI-generated feedback; ChatGPT; Revision process; Student engagement; Translation education","","","Springer","13602357","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-86000356374"
"Jiang, J.; Yang, Y.; Qi, S.","Jiang, Renfeng (57563735200); Yang, Gang (57563735100); Qi, Shen (59549806700)","57563735200; 57563735100; 59549806700","The Motivational Impact of GenAI Tools in Language Learning: a Quasi-Experiment Study","2025","International Journal of Applied Linguistics","35","3","","1338","1350","0","6","10.1111/ijal.12701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217421051&doi=10.1111%2Fijal.12701&partnerID=40&md5=366a67a6532e0a2cf8fc0576465b3441","The evolution of generative artificial intelligence (GenAI) technologies may have markedly influenced language learning. Through offering personalised support, GenAI-driven chatbots have potentially transformed how learners engage with and sustain their motivation in learning languages. Drawing on self-determination theory (SDT), this study explores the impact of using GenAI tools on the autonomous motivation of a group of Chinese university students learning English by examining how GenAI tool integration influences their basic psychological needs (BPN) of autonomy, competence and relatedness, and the development of their language motivation over a four-month academic term. A quasi-experimental design was employed for two groups (N = 355), with the experimental group incorporated GenAI tools into their learning routine, while the control group followed traditional classroom instruction. The structural model indicated a notable enhancement in the influence of Time 2 autonomy on Time 2 autonomous motivation, observed exclusively within the experimental group. The repeated measures ANOVA indicated that integrating GenAI tools significantly enhanced students’ autonomous motivation compared to traditional methods. The findings suggest that strategic implementation of GenAI tools can effectively boost motivation in language learning, offering valuable insights for the consideration of their use in the educational system. © 2025 Elsevier B.V., All rights reserved.","AI Chatbot; GenAI tools; language motivation; self-determination theory; structure equation modelling; 人工智能聊天机器人; 生成式人工智能工具; 结构方程模型; 自我决定理论; 语言学习动机","","","John Wiley and Sons Inc","08026106; 14734192","","","","Article","Final","","Scopus","2-s2.0-85217421051"
"Zhang, W.; Li, A.W.; Wu, C.","Zhang, Wenkang (59546814900); Li, Albert W. (57959685700); Wu, Chenze (59219558800)","59546814900; 57959685700; 59219558800","University students’ perceptions of using generative AI in translation practices","2025","Instructional Science","53","4","","633","655","0","6","10.1007/s11251-025-09705-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217181674&doi=10.1007%2Fs11251-025-09705-y&partnerID=40&md5=19cba31fa593620353475d7dbb946fd0","The rising application of Generative Artificial Intelligence (GenAI) tools like ChatGPT, Bing Chat, and Bard in language teaching and learning heralds a transformative era. Yet, the experiences and perspectives of university students on integrating these tools into their translation studies remain underexplored. This qualitative study, conducted in a research-intensive, Sino-foreign cooperative university in southern China, explored university students’ perceived benefits and challenges of utilizing GenAI in translation practices, as well as their preferred support mechanisms for addressing encountered issues. Data was collected through open-ended questionnaires and semi-structured interviews and analyzed by using reflexive thematic analysis. Results underscored the advantages of GenAI in enhancing translation efficiency, quality, learning, and practice, fostering a positive outlook and social benefits. Nevertheless, issues such as adequacy, prompt engineering efficacy, practical application, technical limitations, accountability, transparency, and potential AI dependency were noted. Beyond existing self-help strategies, there was an expressed need for additional guidance from educators and institutions. This study enriches our comprehension of how university students perceive and engage with GenAI tools in translation, offering insights for educators and academic institutions to optimize future teaching strategies. It also outlines the study’s limitations and proposes directions for subsequent research. © 2025 Elsevier B.V., All rights reserved.","ChatGPT; Generative AI; In-depth interviews; Technology-enhanced learning; Translation practices","","","Springer Science and Business Media B.V.","15731952; 00204277","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217181674"
"Yang, G.; Wang, Y.; Zhang, Y.; Yang, M.; Zeng, Q.; Song, Z.","Yang, Gang (57220644303); Wang, Yali (59501064900); Zhang, Youyou (59500936600); Yang, Manna (59500673900); Zeng, Qunfang (58338490000); Song, Zhanmei (56245166800)","57220644303; 59501064900; 59500936600; 59500673900; 58338490000; 56245166800","An Empirical Study of AI-Supported Interleaved Training Strategy to Improve EFL Students’ English Impromptu Speaking Performance, Learning Engagement, Technology Acceptance and Epistemic Network Structure","2025","Asia-Pacific Education Researcher","34","4","","1519","1540","0","3","10.1007/s40299-024-00962-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214111692&doi=10.1007%2Fs40299-024-00962-y&partnerID=40&md5=ad6e77b82bc581c574aa05bbc46171d1","Improving EFL students’ impromptu speaking ability is a challenge for English language instruction. The development of AI technology has brought new opportunities for impromptu speaking instruction. Therefore, this study proposes an AI-supported interleaved training strategy that focuses on the effects on students’ impromptu speaking performance, learning engagement, technology acceptance, and epistemic network structure. A quasi-experimental study was conducted at a university in southern China to assess the effectiveness of this strategy. The experimental group (EG, N = 26) used the AI-supported interleaved training strategy, whereas the control group (CG, N = 26) used the Teacher-supported interleaved training strategy. The results of the study showed that students in EG not only improved their impromptu speaking performance but also improved their learning engagement. The results also found that students’ learning engagement could effectively predict impromptu speaking performance, while technology acceptance could produce a mediating effect on impromptu speaking performance. Meanwhile, the results of the ENA indicated that the connection relation in the epistemic network of EG was better than that of CG overall. This result illustrates the effectiveness of AI technology in aiding impromptu speaking instruction. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence technology; ChatGPT; EFL students; Impromptu speaking; Interleaved training strategy","","","Springer","01195646; 22437908","","","","Article","Final","","Scopus","2-s2.0-85214111692"
"Mitra, J.; Ghose, S.; Thawani, R.","Mitra, Jhimli (23985784300); Ghose, Soumya (36643787900); Thawani, Rajat (47962569800)","23985784300; 36643787900; 47962569800","Clinically Explainable Prediction of Immunotherapy Response Integrating Radiomics and Clinico-Pathological Information in Non-Small Cell Lung Cancer †","2025","Cancers","17","16","2679","","","0","0","10.3390/cancers17162679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014520892&doi=10.3390%2Fcancers17162679&partnerID=40&md5=651ce58e6298f84196a05d18e3bb28a2","Background/Objectives: Immunotherapy is a viable therapeutic approach for non-small cell lung cancer (NSCLC). Despite the significant survival benefit of immune checkpoint inhibitors PD-1/PD-L1, on average; the objective response rate is around 20% as monotherapy and around 50% in combination with chemotherapy. While PD-L1 IHC is used as a predictive biomarker, its accuracy is subpar. Methods: In this work, we develop a machine learning (ML) method to predict response to immunotherapy in NSCLC from multimodal clinicopathological biomarkers, tumor and peritumoral radiomic biomarkers from CT images. We further learn a graph structure to understand the associations between biomarkers and treatment response. The graph is then used to create sentences with clinical hypotheses that are finally used in a Large Language Model (LLM) that explains the treatment response predicated on the biomarkers that are comprehensible to clinicians. From a retrospective study, a training dataset of NSCLC with n = 248 tumors from 140 subjects was used for feature selection, ML model training, learning the graph structure, and fine-tuning LLM. Results: An AUC = 0.83 was achieved for prediction of treatment response on a separate test dataset of n = 84 tumors from 47 subjects. Conclusions: Our study therefore not only improves the prediction of immunotherapy response in patients with NSCLC from multimodal data but also assists the clinicians in making clinically interpretable predictions by providing language-based explanations. © 2025 Elsevier B.V., All rights reserved.","clinical explanation; immunotherapy response; large-language model; machine learning; multimodal analysis; non-small cell lung cancer; radiomics","adult; aged; anisotropy; area under the curve; Article; cancer chemotherapy; cancer immunotherapy; clinician; cohort analysis; computer assisted tomography; cross validation; current smoker; entropy; ex-smoker; feature extraction; feature selection; female; human; large language model; machine learning; major clinical study; male; never smoker; non small cell lung cancer; prediction; protein expression; radiomics; retrospective study; survival time; treatment response; very elderly","","Multidisciplinary Digital Publishing Institute (MDPI)","20726694","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014520892"
"Mayfield, J.; Tibbetts, K.Q.; Rehman, A.; Levin, M.; Goltz, D.; Prakash, N.","Mayfield, John D. (57217491824); Tibbetts, Katherine Quesada (59392450400); Rehman, Aziz (60041574500); Levin, Millena (59906620500); Goltz, Dayna (59483510200); Prakash, Neelesh (56190176400)","57217491824; 59392450400; 60041574500; 59906620500; 59483510200; 56190176400","Improved Osteoporosis Prediction in Breast Cancer Patients Using a Novel Semi-Foundational Model","2025","Journal of Imaging Informatics in Medicine","38","4","","2063","2070","0","1","10.1007/s10278-024-01337-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013394589&doi=10.1007%2Fs10278-024-01337-x&partnerID=40&md5=74e9a85b8154b43c40ffe43af9f42f33","Small cohorts of certain disease states are common especially in medical imaging. Despite the growing culture of data sharing, information safety often precludes open sharing of these datasets for creating generalizable machine learning models. To overcome this barrier and maintain proper health information protection, foundational models are rapidly evolving to provide deep learning solutions that have been pretrained on the native feature spaces of the data. Although this has been optimized in Large Language Models (LLMs), there is still a sparsity of foundational models for computer vision tasks. It is in this space that we provide an investigation into pretraining Visual Geometry Group (VGG)-16, Residual Network (ResNet)-50, and Dense Network (DenseNet)-121 on an unrelated dataset of 8500 chest CTs which was subsequently fine-tuned to classify bone mineral density (BMD) in 199 breast cancer patients using the L1 vertebra on CT. These semi-foundational models showed significant improved ternary classification into mild, moderate, and severe demineralization in comparison to ground truth Hounsfield Unit (HU) measurements in trabecular bone with the semi-foundational ResNet50 architecture demonstrating the best relative performance. Specifically, the holdout testing AUC was 0.99 (p-value < 0.05, ANOVA versus no pretraining versus ImageNet transfer learning) and F1-score 0.99 (p-value < 0.05) for the holdout testing set. In this study, the use of a semi-foundational model trained on the native feature space of CT provided improved classification in a completely disparate disease state with different window levels. Future implementation with these models may provide better generalization despite smaller numbers of a disease state to be classified. © 2025 Elsevier B.V., All rights reserved.","AI; Breast cancer; Foundational model; Osteopenia; Osteoporosis; Transfer learning","","","Springer Nature","29482933","","","","Article","Final","","Scopus","2-s2.0-105013394589"
"León-Paredes, G.A.; Alba-Narváez, L.A.; Paltin-Guzmán, K.D.","León-Paredes, Gabriel A. (57200258706); Alba-Narváez, Luis A. (60035892000); Paltin-Guzmán, Kelly D. (60042421000)","57200258706; 60035892000; 60042421000","NOVA: A Retrieval-Augmented Generation Assistant in Spanish for Parallel Computing Education with Large Language Models","2025","Applied Sciences (Switzerland)","15","15","8175","","","0","0","10.3390/app15158175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013288147&doi=10.3390%2Fapp15158175&partnerID=40&md5=50be62d76aa843ec007596a504fb9fee","This work presents the development of NOVA, an educational virtual assistant designed for the Parallel Computing course, built using a Retrieval-Augmented Generation (RAG) architecture combined with Large Language Models (LLMs). The assistant operates entirely in Spanish, supporting native-language learning and increasing accessibility for students in Latin American academic settings. It integrates vector and relational databases to provide an interactive, personalized learning experience that supports the understanding of complex technical concepts. Its core functionalities include the automatic generation of questions and answers, quizzes, and practical guides, all tailored to promote autonomous learning. NOVA was deployed in an academic setting at Universidad Politécnica Salesiana. Its modular architecture includes five components: a relational database for logging, a vector database for semantic retrieval, a FastAPI backend for managing logic, a Next.js frontend for user interaction, and an integration server for workflow automation. The system uses the GPT-4o mini model to generate context-aware, pedagogically aligned responses. To evaluate its effectiveness, a test suite of 100 academic tasks was executed—55 question-and-answer prompts, 25 practical guides, and 20 quizzes. NOVA achieved a 92% excellence rating, a 21-second average response time, and 72% retrieval coverage, confirming its potential as a reliable AI-driven tool for enhancing technical education. © 2025 Elsevier B.V., All rights reserved.","artificial intelligence in education; autonomous learning; educational virtual assistant; large language models (LLMs); parallel computing; retrieval augmented generation (RAG); Spanish-language tutoring system; vector databases","Artificial intelligence; Computer aided instruction; Curricula; E-learning; Education computing; Engineering education; Learning systems; Natural language processing systems; Parallel architectures; Relational database systems; Search engines; Teaching; User interfaces; Artificial intelligence in education; Autonomous learning; Educational virtual assistant; Language model; Large language model; Parallel com- puting; Retrieval augmented generation; Spanish language; Spanish-language tutoring system; Tutoring system; Vector database; Virtual assistants; Semantics","","Multidisciplinary Digital Publishing Institute (MDPI)","20763417","","","","Article","Final","","Scopus","2-s2.0-105013288147"
"Amoush, K.H.; Alhosban, A.A.","Amoush, Kholoud H. (58193847500); Alhosban, Amal (42861002800)","58193847500; 42861002800","Mastering EFL Writing With ChatGPT: A Systematic Review of Benefits, Challenges, and Best Practices","2025","Theory and Practice in Language Studies","15","8","","2576","2583","0","0","10.17507/tpls.1508.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013136235&doi=10.17507%2Ftpls.1508.14&partnerID=40&md5=5e6baee66c021ebd566df183aadbc145","—The rapid advancement of artificial intelligence (AI) in English as a Foreign Language (EFL) instruction—especially in writing—is unprecedented. Among AI tools, ChatGPT stands out as a powerful resource, offering real-time, contextual feedback that goes beyond simple grammar corrections. This systematic review draws on insights from 21 studies to evaluate the impact of ChatGPT in improving EFL students’ writing skills. It looks at how AI-generated feedback compares to human feedback and reflects on the broader effect of using ChatGPT in EFL writing instruction. Research findings showed that ChatGPT significantly improves students’ accuracy, vocabulary use, fluency, and coherence. Furthermore, it motivates and encourages students’ self-regulated learning. Nevertheless, there are still some concerns, such as potential overreliance, and issues related to academic integrity. To address these issues and concerns, this systematic review outlines best practices for integrating ChatGPT into EFL writing classrooms. These include integrating AI-generated feedback with educators’ guidance, training students to use AI tools with responsibility, and ensuring educators’ supportive role. By striking a balance between AI-generated feedback and educators’ support, benefits of ChatGPT will be maximized while still keeping students’ academic integrity. © 2025 Elsevier B.V., All rights reserved.","AIassisted writing; ChatGPT; EFL writing skill; English as a Foreign Language; Index Terms—Artificial Intelligence (AI)","","","Academy Publication","20530692; 17992591","","","","Article","Final","","Scopus","2-s2.0-105013136235"
